matrix_key,source_section,orfogrammka_id,title,entry_type,parent_path,depth,source_url,status,executable,rule_ids,requires,eligible_now,reason
orthography_3_7_2_9,orthography,3.7.2.9,"Конструкции, усиливающие отрицание",leaf_rule,"[""Правила слитного, дефисного и раздельного написания"", ""Написания с отрицанием «не»"", ""Раздельное написание «не»""]",4,https://orfogrammka.ru/орфография/конструкции_усиливающие_отрицание/,syntax_required,false,[],"[""model"", ""syntax""]",false,needs_syntax
orthography_3_7_2_10,orthography,3.7.2.10,"Сочетания «едва ли не…, чуть ли не…, разве не…, не далее как…, не позже чем…, не раньше чем…»",leaf_rule,"[""Правила слитного, дефисного и раздельного написания"", ""Написания с отрицанием «не»"", ""Раздельное написание «не»""]",4,https://orfogrammka.ru/орфография/сочетания_едва_ли_не_чуть_ли_не_разве_не_не_далее_как_не_позже_чем_не_раньше_чем/,syntax_required,false,[],"[""model"", ""syntax""]",false,needs_syntax
orthography_3_7_2_11,orthography,3.7.2.11,Раздельное написание с полными формами причастий,leaf_rule,"[""Правила слитного, дефисного и раздельного написания"", ""Написания с отрицанием «не»"", ""Раздельное написание «не»""]",4,https://orfogrammka.ru/орфография/раздельное_написание_с_полными_формами_причастий/,model_required,true,"[""ne_participle""]","[""model"", ""morphology"", ""syntax""]",true,eligible_but_needs_threshold
orthography_group_pravila_slitnogo_defisnogo_i_razdelnogo_napisaniya_obschie_pravila_slitnogo_napisaniya,orthography,,Общие правила слитного написания,group,"[""Правила слитного, дефисного и раздельного написания""]",2,https://orfogrammka.ru/орфография/,metadata_only,false,[],[],false,metadata_only
orthography_3_8_1,orthography,3.8.1,Написание слов с приставками,leaf_rule,"[""Правила слитного, дефисного и раздельного написания"", ""Общие правила слитного написания""]",3,https://orfogrammka.ru/орфография/написание_слов_с_приставками/,planned,false,[],[],false,planned
orthography_3_8_2,orthography,3.8.2,"Написание слов, первая часть которых совпадает с формой числительного",leaf_rule,"[""Правила слитного, дефисного и раздельного написания"", ""Общие правила слитного написания""]",3,https://orfogrammka.ru/орфография/написание_слов_первая_часть_которых_совпадает_с_формой_числительного/,planned,false,[],[],false,planned
orthography_3_8_3,orthography,3.8.3,Написание слов с первой иноязычной частью,leaf_rule,"[""Правила слитного, дефисного и раздельного написания"", ""Общие правила слитного написания""]",3,https://orfogrammka.ru/орфография/написание_слов_с_иноязычной_частью/,planned,false,[],[],false,planned
orthography_3_8_4,orthography,3.8.4,Сложные слова без соединительной гласной,leaf_rule,"[""Правила слитного, дефисного и раздельного написания"", ""Общие правила слитного написания""]",3,https://orfogrammka.ru/орфография/сложные_слова_без_соединительной_гласной/,dictionary_model_required,false,[],"[""dictionary"", ""model""]",false,needs_dictionary
orthography_group_pravila_slitnogo_defisnogo_i_razdelnogo_napisaniya_obschie_pravila_napisaniya_cherez_defis,orthography,,Общие правила написания через дефис,group,"[""Правила слитного, дефисного и раздельного написания""]",2,https://orfogrammka.ru/орфография/,metadata_only,false,[],[],false,metadata_only
orthography_3_9_1,orthography,3.9.1,Дефисное написание повторяемых сочетаний,leaf_rule,"[""Правила слитного, дефисного и раздельного написания"", ""Общие правила написания через дефис""]",3,https://orfogrammka.ru/орфография/дефисное_написание_повторяемых_сочетаний/,planned,false,[],[],false,planned
